"","SITE","SOIL","TIME","HOST","TISSUE","TEMP","MEDIA","IR"
"MSHM577","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM578","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","23","PDA",0
"MSHM579","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","23","PDA",0
"MSHM580","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM581","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM582","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","30","PDA",1
"MSHM583","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",3
"MSHM584","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",1
"MSHM585","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",2
"MSHM586","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",0
"MSHM587","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",4
"MSHM588","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",0
"MSHM589","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM590","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","23","PDA",0
"MSHM591","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","23","PDA",0
"MSHM592","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","30","PDA",2
"MSHM593","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","30","PDA",2
"MSHM594","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","30","PDA",0
"MSHM595","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",2
"MSHM596","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",0
"MSHM597","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",1
"MSHM598","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",2
"MSHM599","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM600","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",2
"MSHM601","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","23","PDA",2
"MSHM602","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM603","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM604","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM605","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","23","PDA",1
"MSHM606","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM607","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM608","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM609","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM610","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM611","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","30","PDA",1
"MSHM612","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM613","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM614","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM615","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM616","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM617","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",1
"MSHM618","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",1
"MSHM619","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",1
"MSHM620","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM621","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM622","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",3
"MSHM623","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM624","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",2
"MSHM625","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM626","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM627","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","23","PDA",2
"MSHM628","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","30","PDA",1
"MSHM629","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM630","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM631","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",1
"MSHM632","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",1
"MSHM633","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",1
"MSHM634","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",1
"MSHM635","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",1
"MSHM636","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",1
"MSHM637","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM638","Rig-Boland Desert","Arid soil","Summer","Alhagi persarum","Branch","23","PDA",2
