,APE.se5.Staphylotrichum.coccosporum,TPEsh28.Humicola.fuscoatra,ZEE.se11.Periconia.macrospinosa,THE.we10..Aporospora.terricola,SAE.se4.Coniophora.prasinoides,SIE.sh1.Briansuttonomyces.eucalypti,RAE.sh12.Acrocalymma.vagum,PSE.ss7.Penicillium.sp.,PSE.we4..Chaetomium.globosum,PSE.se8.Podospora.minicauda,PSE.we8.Alternaria.chlamydospora,LDE.se7.Coniothyrium.aleuritis,LAE.se5.Sordaria.humana,HAE.se5.Camarosporomyces.flavigenus,HAE.ss4.Cytospora.chrysosperma,HAE.we5.Coniolariella.sp.,HAE.se9.Chaetomium.nigricolor,HAE.se1.Acrocalymma.sp.,ECE.ws2.Corallomycetella.repens,ECE.ws8.Sporormiella.dakotensis,ECEws7.Nigrospora.oryzae,ECE..ss10.Meyerozyma.guilliermondii,CCE.se19.Penicillium.granulatum,AspE.se5.Rosellinia.Britannica,AspE.se10.Truncatella.angustata,ASE.ws11..Botryotrichum.peruvianum,ASE.ss1.Penicillium.rubefaciens,CCEse1.Aspergillus.fumigatiaffinis,CCE.se7.Lecanicillium.muscarium,CCE.se4.Phialemonium.atrogriseum,CCE.se2.Chaetomium.elatum,LAEsh5.Coniolariella.ershadii,ZEE.ss1.Byssochlamys.spectabilis,ZEE.se7.Fusarium.acuminatum,ZEE.se14..Cytospora.sorbicola,ZEE.se5.Bionectria.ochroleuca,ZEE.se13.Parastagonospora.sp.,ZEE.se4.Nothophoma.quercina,ZEE.se3.Arthrinium.arundinis,ZEE.se2.Phomopsis.azadirachtae,TTE.se10.Coniolariella.sp.,PHE.se3.lasiodiplodia.theobromae,PHE.se8.Chaetosphaeronema.hispidulum,STE.se5.Cytospora.salicacearum,APE.se3.Dactylonectria.macrodidyma,ZAE.ss6.Endoconidioma.populi,ZAE.ws3.Chalara.clidemiae,ZAE.ws5.Chaetosphaeronema.achilleae,ZAE.ws8.Monosporascus.eutypoides,CCE.we7.Acremonium.dichromosporum,LAE.se3.Neosetophoma.lunariae,ESE.se2.Epicoccum.nigrum,ESE.ws4.Chaetomium.cochliodes,ESE.ws7.Cladosporium.allicinum,ESEws8.Muriphaeosphaeria.ambrosiae,ESE.ws1.Rhodotorula.babjevae,SRE.wh16.Paracamarosporium.hawaiiense,SRE.wh13.Ovatospora.senegalensis,SRE.we6.Fusariella.sinensis,SRE.we.10.pichia.kudriavzevii
MSHM577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM581,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM583,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM585,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM587,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM589,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM592,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM593,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM595,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM597,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM598,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM599,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSHM618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
