"","SITE","SOIL","TIME","HOST","TISSUE","TEMP","MEDIA","IR"
"MSHM1","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Leaf","23","PDA",0
"MSHM2","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Leaf","23","PDA",0
"MSHM3","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Leaf","23","PDA",0
"MSHM4","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Leaf","30","PDA",0
"MSHM5","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Leaf","30","PDA",0
"MSHM6","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Leaf","30","PDA",0
"MSHM7","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Leaf","23","PDA+Plant extract",0
"MSHM8","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Leaf","23","PDA+Plant extract",0
"MSHM9","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Leaf","23","PDA+Plant extract",0
"MSHM10","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Leaf","30","PDA+Plant extract",0
"MSHM11","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Leaf","30","PDA+Plant extract",0
"MSHM12","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Leaf","30","PDA+Plant extract",0
"MSHM13","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Branch","23","PDA",0
"MSHM14","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Branch","23","PDA",0
"MSHM15","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Branch","23","PDA",0
"MSHM16","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Branch","30","PDA",0
"MSHM17","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Branch","30","PDA",0
"MSHM18","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Branch","30","PDA",0
"MSHM19","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Branch","23","PDA+Plant extract",0
"MSHM20","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Branch","23","PDA+Plant extract",0
"MSHM21","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Branch","23","PDA+Plant extract",0
"MSHM22","Sorkhe","Gypsum Soil","Winter","Acantholimon sp.","Branch","30","PDA+Plant extract",0
