,SITE,SOIL,TIME,HOST,TISSUE,TEMP,MEDIA,season,IR,richness.art1Arid
MSHM577,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,1,1
MSHM580,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,2,1
MSHM581,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,2,1
MSHM582,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,1,1
MSHM583,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,3,1
MSHM584,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM585,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,2,1
MSHM587,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,4,1
MSHM589,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA,Summer,1,1
MSHM592,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,2,1
MSHM593,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA,Summer,2,1
MSHM595,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,2,1
MSHM597,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,23,PDA+Plant extract,Summer,1,1
MSHM598,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,2,1
MSHM599,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,1,1
MSHM600,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Branch,30,PDA+Plant extract,Summer,2,1
MSHM601,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,2,1
MSHM605,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA,Summer,1,1
MSHM611,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA,Summer,1,1
MSHM617,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,1,1
MSHM618,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,23,PDA+Plant extract,Summer,1,1
MSHM619,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,1,1
MSHM622,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,3,1
MSHM624,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Root,30,PDA+Plant extract,Summer,2,1
MSHM625,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,1,1
MSHM626,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,1,1
MSHM627,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA,Summer,2,1
MSHM628,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,1,1
MSHM629,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,2,1
MSHM630,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA,Summer,2,1
MSHM631,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM632,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM633,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,23,PDA+Plant extract,Summer,1,1
MSHM634,Rig-Boland Desert,Arid soil,Summer,Alhagi persarum,Leaf,30,PDA+Plant extract,Summer,1,1
