"","SITE","SOIL","TIME","HOST","TISSUE","TEMP","MEDIA","IR"
"MSHM289","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM290","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",2
"MSHM291","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM292","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM293","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",0
"MSHM294","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",1
"MSHM295","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",2
"MSHM296","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",2
"MSHM297","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",4
"MSHM298","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",0
"MSHM299","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",3
"MSHM300","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",4
"MSHM301","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM302","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM303","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",3
"MSHM304","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",0
"MSHM305","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",0
"MSHM306","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",1
"MSHM307","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",0
"MSHM308","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",1
"MSHM309","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",0
"MSHM310","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM311","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM312","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM313","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM314","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM315","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM316","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM317","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM318","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA",0
"MSHM319","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM320","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM321","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM322","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM323","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM324","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA",0
"MSHM325","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM326","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM327","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM328","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM329","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM330","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","23","PDA+Plant extract",0
"MSHM331","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM332","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM333","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM334","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM335","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM336","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Root","30","PDA+Plant extract",0
"MSHM337","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM338","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",4
"MSHM339","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA",1
"MSHM340","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",2
"MSHM341","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",1
"MSHM342","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA",1
"MSHM343","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",1
"MSHM344","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",5
"MSHM345","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","23","PDA+Plant extract",1
"MSHM346","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",2
"MSHM347","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",5
"MSHM348","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Leaf","30","PDA+Plant extract",1
"MSHM349","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM350","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM351","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA",1
"MSHM352","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",3
"MSHM353","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",2
"MSHM354","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA",1
"MSHM355","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",2
"MSHM356","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",0
"MSHM357","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","23","PDA+Plant extract",1
"MSHM358","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM359","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",1
"MSHM360","Hoze Soltan Lake","Saline Soil","Summer","Alhagi persarum","Branch","30","PDA+Plant extract",5
